,content
105,"[개발 스터디 모집 내용 예시]스터디 주제 : 취업스터디스터디 목표 : 취업예상 스터디 일정(횟수) : 주 3회 (2회 오프라인 모임/ 1회 온라인)예상 커리큘럼 간략히 : 코테/면접/취업 포트폴리오까지 다 한번에 하기.예상 모집인원 : 5명 (현재 4/5)스터디 소개와 개설 이유 : 안녕하세요. 제가 이 스터디를 모집하게 된 이유는 혼자서 취업에 필요한 것들을 준비하는데 어려움이 있어서 함께 서로 독려하며 취업까지 함께 하기 위함입니다. 취업용 포트폴리오를 만드는 것과 동시에 코테와 면접을 같이 준비하기 위해 인원을 모집합니다. 저 또한 경력없는 취준생입니다. 아래 오픈 채팅방 링크 남겨놓았으니 카톡으로 편하게 연락 주세요.스터디 관련 주의사항 : 이 스터디는 단순 코테/면접을 넘어서 포폴을 위해 프로젝트 1개를 진행하는 것을 목표로 하고 있습니다. ""주 2회 오전에 오프라인 스터디 참여가 가능한분/프로젝트를 진행할 의사가 있는 분"" 두 가지 모두 해당하시는 분들이 지원해주시면 좋을 것 같습니다. 그리고 ""백엔드 포지션""을 모집중이니 참고 부탁드립니다.프로젝트 관련: 현재 기획만 되어있는 상태입니다. 프로젝트 주제는 부동산 데이터를 분석한 것과 매매에 관한 서비스를 제공하는 플랫폼을 계획하였습니다. 프로젝트 기한은 4~5주 입니다. 프로젝트 종료 후에는 코테와 면접 위주로 스터디를 진행할 계획입니다.스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : https://open.kakao.com/o/gJObyu0f"
106,"공모전 수상을 목표로, 열정적이고 유능한 데이터 분석가를 찾아요! 함께 성공을 이루어 나갈 동료들의 지원을 기다립니다. 지원자격 :공모전 경험이 있거나 데이터 분석에 능숙하신 분, 또는 기획서 및 PPT 제작에 숙력된 분을 모집합니다. 팀장 소개 : 부산에서 AI데이터 분석 업루를 담당하고 있어요! 분야에 대한 지식과 실무 경험을 바탕으로 팀을 이끌고 있습니다.  관심 있으신 분은 메일 또는 오픈 채팅으로 간단하게 지원해주세요.오픈 카카오톡 : https://open.kakao.com/o/sELYXS2f메일 : wnsgud4553@naver.com"
107,"안녕하세요. 개발 관련 글을 꾸준히 쓰고 싶은데 혼자서는 의지가 자꾸 사그라들어 같이 글쓰기 습관을 들이실 스터디원을 모집합니다. 스터디 주제 : 개발 관련 글쓰기~제 6회 모집~  스터디 목표 : 일주일에 최소 1번 이상 개발 관련 글쓰기. 예상 모집인원 : 저 포함 총 6명~8명. 8명이 되거나 일요일(14일) 밤 8시가 되면 모집글은 종료하겠습니다.  스터디 소개:진행 방식은 매주 월요일 00시 ~ 일요일 22시 안에 최소 1개 이상 글을 쓰고 오픈단톡방에 해당 글의 주소를 공유합니다. 글을 쓰고 발행하시는대로 단톡방에 주소를 올리시면 됩니다.글의 내용이 개발 관련이기만 하면 모두 자유입니다. 트러블슈팅, 배운 것 복습, TIL 등 전부 가능하며 ""글의 양과 질도 전부 자유""입니다. 코드만 덜렁 있는 글도 다 괜찮습니다.매 주 일요일 밤 10시가 되면 이번 주 종료 안내 문구와 함께 이번 주에 쓰시지 못하신 분들을 제가 호명해드립니다. 호명되신 분들은 단톡방을 나가주시면 됩니다. 본 스터디는 글을 쓰지 않았을 시 패널티가 있습니다.매 주 일요일 밤 10시까지 글을 한 개라도 올리지 않았을 시, 오픈단톡방을 나가주셔야합니다.매주 일요일 밤 10시에 글을 올리지 않으신 분의 닉네임을 적어드리니 해당 되시는 분은 스스로 오픈단톡방을 나가주시고, 다음에 참가하고 싶다면 다음 모집글이 올라올 때 다시 신청하셔서 참가하시면 됩니다.만약 월요일 오후 10시가 되도록 나가지 않으신 분들은 제가 내보내기를 할 예정입니다. 테스트해보니 내보내기를 통해 나가신 분들은 동일한 단톡방에 다시 들어오실 수가 없으니 참고해주시길 바랍니다.혹시 단톡방에서 내보내는 방식이 마음에 안드시는 분들은 스터디 참여에 다시 한번 고려 부탁드리겠습니다!   스터디 관련 주의사항 : 글을 못쓰게 된 개인 사정에 대해서 예외는 없습니다! 개발 관련이기만 하면 글과 관련하여 제한이 없으므로 일이 생겨서, 너무 바빠서 쓰지 못하였다는 일은 없으면 좋겠습니다. 글쓰기에 대한 습관을 추구하는 스터디이오니 한 줄이라도 써서 꼭 공유해주실 바랍니다. 지금까지 약 6개월 간 꾸준히 모집을 하면서, 참가자분들의 30%는 첫 주에 나가시고, 40%는 둘 째 주에 나갔습니다. 일주일마다 글 하나 쓰는 것은 생각보다 굉장히 어렵고 힘든 일입니다. 참가하시기 전에 한 달 이상 꾸준히 글 쓰는 것이 가능한지 한 번 더 고려해보신 후 참가하시면 감사하겠습니다~스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : 마감모집 1:1 톡방입니다. 들어오셔서 참가 원하신다고 말씀해주시면 안내드리겠습니다.닉네임은 블로그에서 쓰이는 이름으로 부탁드리겠습니다."
108,"[개발 스터디 모집 내용 예시]스터디 주제 : Webgl 및 JS , 프론트엔드 전반 스터디 목표 : 프론트엔드 개발자 취업준비생 및 현직자들의 스킬업 예상 스터디 일정(횟수) : 주 1회예상 커리큘럼 간략히 : Three.js , JS 기초 , HTML , CSS예상 모집인원 : 30스터디 소개와 개설 이유 :스터디 관련 주의사항 : 개발공부에 열정적인분 오세요 스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) https://open.kakao.com/o/gx5zvrae"
109,"[개발 스터디 모집 내용 예시]스터디 주제:김영한 spring 로드맵 & JPA 로드맵 전 커리큘럼 같이 스터디하실분 모집합니다.스터디 목표: 꾸준히 커리큘럼 따라가며 빠르게 복습하여 실력을 쌓기.예상 스터디 일정(횟수): 평일1회 주말 1회 오프라인으로 모여서 3일동안 공부한내용 돌아가면서 설명하기.예상 커리큘럼 간략히: 3일공부하고 하루 발표하는식으로 빠른스탭으로 김영한님 커리큘럼강의를 끝낼예정입니다예상 모집인원: 3~4명스터디 소개와 개설 이유 :혼자 공부하면 막히는부분에서 시간이 오래 끌리는데 이런부분을 스터디원분들과 집단지성으로 해결해나아가면서 빠르게 커리돌리고 이후에 필요한 공부를 더해서 좋은 포토폴리오를 만들어 공부이력을 쌓고 취업까지 열심히 준비하는 개발자분들을 미리미리 주니어때부터 알아가고싶습니다.스터디 관련 주의사항 : 김영한 자바 강의 2개 수강하신분들만 와주셨으면좋겠습니다( 아니면 JAVA를 어느정도알고계신분)스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)https://open.kakao.com/o/gTPi7Y1f소개: 국비지원 풀스택 과정을 11월에 마친 취준생입니다. 많이 부족하고 다른사람 알려줄 실력은 안되지만같이 모여서 공부하고 정보교환하고자하는 환경을 만들고 싶었습니다. 이런 초보 스터디가 잘안열려서 직접열었습니다.조금 실력있는 분들이 오셔도 좋지만 막히는 부분에서 서로 열심히 서칭하고 공부해갔으면 좋겠습니다!감사합니다"
110,"이력서를 지원하기 위해 무작정 채용 사이트부터 켜는 당신, 여기 주목! 취업과 이직에도 전략과 단계가 있다는 것을 아시나요?채용 플랫폼에서 적당히 필터를 걸고 이력서만 지원한다면 절대로 서류합격의 승률을 높일 수 없습니다. 올 한해 꼭 가고 싶은 기업들을 리스트업 하고 전략에 따라 지원 시기와 방법을 결정한다면🔥내가 진짜로 보완해야 할 부분🔥이 어떤 것인지를 정확히 확인할 수 있습니다. - 이력서가 잘못되었을까?- 면접스킬이 부족한 것일까?- 근본적으로 실력이 부족한 것일까?- 소프트스킬 또는 컬처핏의 문제일까? 이번 원데이 스터디에서 가고 싶은 회사를 리스팅하며 자가진단 해 보세요.그리고 이 리스트를 실전에서 어떻게 활용해야 하는지 해브어스터디데이가 낱낱이 알려드립니다. 2024년 해브어스터디데이의 첫 🌷원데이 스터디🌷!📋가고 싶은 회사 리스팅 하기📋! 안내 사항을 꼼꼼히 확인하시고 참여를 원하시는 분은 아래의 google form을 작성해주세요! ❤ google form 제출 & 입장료 입금👉🏻 https://bit.ly/48E9Ga6 📣 원데이 스터디 안내 [취업&이직의 첫걸음: 가고 싶은 회사 리스팅하기]- 딱 한시간 반만 집중해서 가고 싶은 회사를 빠르게❗ 함께❗ 리스팅 해봅시다! 🤗- 기업 리스트 실전 활용법을 알려드립니다.- 온라인으로 진행되는 스터디입니다. [모집 기간]01.07(일) ~ 01.16(화) 23:59까지 [온라인 네트워킹 스페이스 입장료]10,000원 [일정]01.17(수) 20:30~ (약 1시간 30분 소요 예상) ❤HSD 리뉴얼 이벤트❤ mkdir bright-future 스터디의 새로운 이름, Have a Study Day!스터디 리뉴얼을 기념하여 인스타그램에서 이벤트를 진행하고 있어요.지금 바로 HSD 공식 인스타그램을 팔로우하고 스타벅스 쿠폰도 받아가세요! 🫶 HSD 인스타그램 바로 가기👉🏻 https://www.instagram.com/have_a_study_day또는 첨부된 QR 코드 태그 🌷"
111,"코딩 테스트 공부하실 수 있는 좋은 기회 입니다. 1. 스터디를 하시는 분은 출판사 페이지에서 도서 및 굿즈를 구매할 수 있는 포인트도 드리고, 단장님은 스타벅스 기프티콘도 드린다고 합니다!! 2. 단장이 되는게 부담스러우신가요? 꼭 실력이 있어야 하는 건 아닙니다. 스터디 진행이 잘 되도록 관리 정도를 해주시면 되고!! 모르는게 생기면 저자가 직접 관리하는 디스코드 및 카톡방에 문의하시면 저자가 답변해드려요^^디스코드에서 질문하실 때, 단장이라고 언급하시면 가장 우선순위를 높여서 답변드리겠습니다^^ 3. 일단 스터디를 개설하시면 같이 홍보도 해드리고 있으니 걱정 마시고 편하게 지원해주세요! [상세 페이지]https://goldenrabbit.co.kr/%eb%ac%98%ea%b3%b5%eb%8b%a8/ [스터디단장 신청 페이지]https://tally.so/r/woG9Ge=> 스터디를 계획 중인 도서를 선택해 주세요 에서 -> [되기] 파이썬 코딩 테스트 합격자 되기를 선택해주시면 됩니다. 참석 및 개설에 어려움이 있으신경우, 고민하지 마시고 바로 아래 디스코드에서 문의 해주시면 됩니다디스코드 주소 : https://discord.gg/hellorabbit문의 위치 : 금토끼 도서 -> 코딩 테스트 합격자 되기"
112,"[개발 스터디 모집 내용 예시]스터디 주제 : 프론트엔드 현업자 또는 직장인만 오셨으면 좋겠습니다!스터디 목표 : 정보공유, 서로 공부 챙겨주기(저도 일하느라 못 챙길 수 있으니 의지하기보단 서로 챙겨줍시다!), 이직, 자격증 취득 습관 형성 등예상 스터디 일정(횟수) : 1/9 ~ 2/25 예정 - 화, 목 디스코드 저녁 8시~10시, 일요일 오프라인 성수 공유오피스 또는 카페 오후 2시~4시 (오프라인 어려울 시 전날 12시까지 온라인으로 참여한다고 미리 말하면 온라인 가능(온라인 참여시엔 벌금x)예상 커리큘럼 간략히 : 스터디 시작전에 스크럼하고 스터디 종료 10분 전 노션에 한 일 적기예상 모집인원 : 1~2명 (현재 인원 3명)스터디 소개와 개설 이유 : 실력 향상, 연봉 인상, 이직 등 각자의 목표를 세우셔서 올해 새로운 다짐과 함께 으쌰으쌰 공부하실 분들이 필요하여 모집하게되었습니다! 저도 퍼질 땐 많이 퍼져서 함께 의지를 다질 분이 필요할 것 같아 모집하게 되었습니다.스터디 관련 주의사항 : 1회 불참시 벌금 3천원 / 1회 지각시 벌금 천원(지각은 30분 이상 지각시에 부과하고 저도 불참이나 지각시에 냅니다.) - 마지막 날에 n분의 1 하겠습니다. 혹시 벌금 2회이상 안낼 시 강제퇴장조치, 전날 9시까지 불참 고지시엔 벌금 면제(3회까지만 가능)스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) :https://open.kakao.com/o/gh3hzMOf"
113,https://event-us.kr/m/76840/13109
114,"[개발 스터디 모집 내용 예시]스터디 주제 : 모각코스터디 목표 : 꾸준한 공부 습관 기르기예상 스터디 일정(횟수) : 평일 1회, 주말 오전 1회예상 커리큘럼 간략히 :예상 모집인원 : 5명스터디 소개와 개설 이유 : 올해 이직 준비 시작한 1년차 주니어입니다. 퇴근 후 공부하는 습관을 기르고자 스터디 모집하게 되었습니다. 열심히 공부하는 분위기 만들었으면 좋겠습니다스터디 관련 주의사항 :스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)  https://open.kakao.com/o/gp8XME2f"
115,"스터디 주제 : 리액트 새로운 공식 문서 1회독예상 스터디 일정(횟수) : 주 1회, 종로, 오프라인, 약 2시간예상 커리큘럼 간략히챕터 순서대로 일주일에 한챕터씩 숙제 및 발표 준비를 해옵니다. 모임 때 본인이 맡은 파트를 발표하고 질문 및 토론을 할 예정입니다.숙제본인 파트 정리해서 블로그 또는 깃헙에 올리기예제 코드 풀이를 블로그 또는 깃헙에 올리기발표준비선택사항 : 다른분들의 예제 코드 보고 리뷰해주기예상 모집인원 : 최대 6명 (현재 모인 인원 3명)스터디 소개와 개설 이유리액트에 생각보다 다양한 hook 들이 있다는 것과, 리액트 팀이 권장하는 리액트 사용 방법을 익히기 위해 스터디를 개설하게 되었습니다.열심히, 끝까지 해주실 분이라면 언제든지 환영입니다~~스터디 관련 주의사항스터디 참여율을 확인하기 위해 사전과제가 있습니다!불참, 숙제 미제출, 지각 시 벌금 있습니다! 스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)https://open.kakao.com/o/sNYLmqLf"
116,"[개발 스터디 모집 내용 예시]스터디 주제 :스터디 목표 :예상 스터디 일정(횟수) : 주 1-2예상 커리큘럼 간략히 :예상 모집인원 : 1-2스터디 소개와 개설 이유 :스터디 관련 주의사항 :스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) 😀카카오톡 오픈채팅을 시작해 보세요.링크를 선택하면 카카오톡이 실행됩니다.IT성신 모각코https://open.kakao.com/o/gbthpIyf현재 저 포함 두명 있고,장소는 아마 광화문/대학로 근처 일 것 같습니다~같이 가끔 저녁도 먹고 편하게 공부하는 분위기입니다"
117,"한분이 스터디 시작전에 취뽀하셔서 추가인원 1-2분 모집합니다!  안녕하세요. 최근 대학원 자퇴하고 ML engineer로 취준중인 취준생입니다. 연구분야는 RL이고 요즘 LLM 공부 하고 있어요ㅎㅎ.면접들이 몇개 잡혀서 준비를 하려는데 의욕이 잘 나지 않아서 스터디를 모집합니다!(+ 혹시 해외기업 노리시는분 계시면 영어로도 같이 대비하거나 / 1주일에 논문 1개 구현같은 추가 미션같은것도 있으면 좋을 것 같아요!) 스터디 주제 : ML 면접스터디스터디 목표 : 면접 질문 정리 깃을 보고 1회에 1주제 혹은 0.5주제 정도 공부/정리해오고, 서로 질문(꼬리질문 포함)하기. 이번에 ml 처음 공부하시는분은 죄송하지만 다음기회에 뵙도록해요ㅠㅠ 기본적인 공부는 끝마치신 분들과 진행하고 싶습니다!예상 스터디 일정(횟수) : 주 2회 온라인 (시간은 협의)예상 커리큘럼 간략히 : https://github.com/zzsza/Datascience-Interview-Questions.git) 등예상 모집인원 : 3~4명 스터디 관련 주의사항 : 사전고지 없는 무단불참 2회 이상이면 퇴출스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : 들어오시면 간단한 자기소개 부탁드립니다! https://open.kakao.com/o/gb8I2XYf"
118,"[개발 스터디 모집 내용 예시]스터디 주제 : 자바 스터디 스터디 목표 :'김영한의 자바 입문', '실전 자바-기본편'을 함께 수강하고자 합니다. 예상 스터디 일정(횟수) :주 1회 수요일 오전 10시부터 12시 (정오) (온라인)수원, 화성, 용인 근처에 거주 중이여서 모집된 팀원들이 오프라인으로 만날 수 있는 경우, 오프라인을 병행해도 좋을 것 같습니다. 예상 커리큘럼 간략히 :2월까지 해당 강의를 수강하는 것을 목표로 합니다.스터디 시간에는 생성해온 문제 풀기, 발표, 모르는 부분 질의 응답 등으로 진행하고 싶습니다.자세한 커리큘럼은 모집 후, 스터디원들과 상의하여 결정하려고 합니다.조금 빠르지만, 빨리 모집이 된다면 이번주 수요일부터 스터디 관련 첫 미팅을 가지고 싶습니다! 예상 모집인원 :현재 저 포함 2분 있어서 2분 정도 더 모집하려고 합니다. (총 4명으로) 스터디 소개와 개설 이유 :자바를 제대로 모른 상태에서 스프링 프로젝트를 진행하였더니 기초가 많이 부족한 느낌이 들어 자바를 다시 공부하려고 하는데, 아무래도 혼자 공부하는 것보다는 함께 공부하는 것이 좋을 것 같아 스터디를 모집합니다! 추후 김영한님 강의를 통해 스프링 강의 스터디도 진행하면 좋을 것 같아요. 병행해도 좋구요! 실력에 상관없이 최대한 빠지지 않고, 열심히 하실 분들만 지원 부탁드립니다.연락이 잘되시는 분이셨으면 좋겠어요:)자유롭게 연락주시면 됩니다!https://open.kakao.com/o/svDUqv2f"
119,"안녕하세요! 저는 전공자이고, 이제 취업 준비를 시작하고 있는데 막막하기도 하고 잘 모르는 부분이 많아서 같이 스터디하면 좋을 거 같아 스터디 하실 분들 모집합니다! 스터디 주제 : 앱 및 웹 개발 프로젝트 / 취업 준비스터디 목표 : 프로젝트 완성 및 자소서 작성, 면접 준비, 코딩테스트 등의 개발자 취업준비예상 스터디 일정(횟수) : 매주 토요일 4시, 종로 스터디룸에서 진행예상 커리큘럼 간략히 : 프로젝트 진행하고 친해지면서 취업준비도 같이 할 수 있었으면 좋겠습니당!예상 모집인원 : 4-5명 (현재 3명)스터디 소개와 개설 이유 : 취업준비가 처음이고 막막해서 같이 프로젝트하면서 취업 준비 하실 분들 모집해요!스터디 관련 주의사항 : 함께 끝까지 참여해주실 분 찾고 있어용. 대학교 졸업하시고 취업준비생이셨으면 좋겠습니다! 서울에서 대면 활동을 할 거기 때문에 서울에 거주하셨으면 좋겠어요!!스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) https://open.kakao.com/o/sGr5MDEf :"
120,"[개발 스터디 모집 내용 예시]스터디 주제 :자바스크립트 딥다이브 완독스터디 목표 :예상 스터디 일정(횟수) : 일주일에 1회 매주 일요일이며 강남에서 스터디룸 빌려서 진행 && 격주차로 온오프라인 병행할 예정입니다 예상 커리큘럼 간략히 : 책을 미리 읽어온 후 이해 안되는 개념, 중요한 개념에 대해서 토의합니다예상 모집인원 : 1스터디 소개와 개설 이유 : 이미 스터디 진행중이며, 8장까지는 읽은 상황입니다 이번주 일요일에 스터디 예정이며 18장까지 토의할 예정입니다 (8장까지는 어렵지 않은 개념 위주입니다)  스터디 관련 주의사항 : 자바스크립트가 처음이 아닌 분이었으면 좋겠으며 이번주에 참여하실 수 있는분 위주로 구할 예정엡니다 스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.)카카오톡 오픈채팅을 시작해 보세요.링크를 선택하면 카카오톡이 실행됩니다.자바스크립트 딥다이브https://open.kakao.com/o/s5Qkkt2f"
121,삭제된 글입니다
122,"데이터 분석 or 코딩은 필수(할 수 있어야 함) 일뿐, 중요하지 않습니다. 투자를 꾸준히 하면서 스스로 가설이 생기신 분이 오셔야 많이 얻어가실 듯 합니다 스터디 소개알트 코인 불장이 반복적으로 온다고 가정아래를 y로 두고, 영향력이 높은 x변수를 찾기알트 코인 불장의 시작 지점불장이 시작하면 많이 오르는 알트 찾기당장 뭐 사야할지 찾는게 목표가 아닙니다. 평생에 걸쳐 반복되는 흐름속에서 좋은 투자를 하기 위해 시장을 이해하는 것이 목표기 때문에 매우 느리게 진행될 예정 (주 1회 모임) 모집인원 : 2명데이터 관련 직종 1~2명, 개발자 0~1명저는 비즈니스 분석가로 일했던 경력이 있습니다현재 2명 모임  모집 조건파이썬 사용자개발자 : 전반적인 코딩 구조 (아키텍쳐?) 정해주시고, API/ 크롤링으로 데이터 구축하실줄 아시는분데이터 직종 : 가설 수립 -> 검증 을 코드를 짜서 직접 해 보신 분모두 : 코인 or 재테크에 관심이 있고, 관련해서 공부해보신 적 있어야 함위 조건 관련된 자료를 공유해주시길 요청ex) 코인 공부할때 정리해둔 노션, 크롤링한 코드가 올라간 git 등 할일 기본 데이터 구축시장형성에 영향을 많이 미치는 거래소 목록을 정하고, API를 이용해 데이터를 받아 DB로 구축코드는 다 같이 나눠서 작업할 예정입니다코인 가격에 영향을 미치는 요소 찾기브레인 스토밍으로 가설 생성가설을 검증하기 위한 데이터를 얻을 수 있는 곳 조사분석 설계머신러닝을 이용해 설명력 확인 주의점가설 없이 데이터+알고리즘 조합만으로 패턴을 찾아내는 (비지도학습류의) 분석이 목표가 아님가설 & 검증 분석 위주가 될 것 같습니다. 지루할 수 있습니다.일반적인 스터디처럼 강의,책 진도를 나가는 것이 아닙니다. 적극적인 참여를 해야 원하는걸 얻어가실 수 있습니다 스터디 후 얻어가시는 것코인 데이터 DB가설 및 설명력 (코인 시장의 이해) 예상 모임기간3개월일정 기간 진행 후, 성과를 정리하고 방향성을 재정비하는 식으로 진행할 예정 예상 시작일모집 조건이 타이트하여, 지원자가 별로 없을 것으로 예상됨기간을 따로 두지 않고 4명이 모이면 연락드리겠습니다.개별적으로 만나서 원하는 것이 비슷한지 대화해보는 시간을 가질 수 있습니다  스터디 장점혼자 하기에는 너무 많은 분량의 일을 나눠하며 지치지 않고 꾸준히 할 수 있음저는 스터디를 하는게 의욕이 더 생기더라구요.시장에 대한 이해도가 높아지면, 투자할때 도움이 될 것   스터디 모임일매주 일요일 10:00~17:00 (12:00~13:00 점심)   모두가 모이지 못하는 날 (명절 등)에는 모임이 진행되지 않습니다 벌금예치금 : (예상 모임횟수*2만원, 매달 갱신)벌금결석 : 1회 모임당 2만원모임일 2일전에 얘기할 경우 결석으로 치지 않습니다.ex) 모임일이 1월13일 -> 1월 11일 오후 12시까지 얘기해주셔야 함페이백스터디 종료 시, (예치금-내 벌금+모인 벌금/남은스터디원) 을 나눠드림중도 포기 시, (예치금-내 벌금) 을 돌려드림  스터디 지원방법아래 구글 폼을 작성 후, 구글폼 설명에 써 있는 오픈 카톡으로 말을 걸어주세요구글 폼만 작성하고 말 안걸어주시는 분이 종종 있는데, 제가 연락할 방법이 없습니다https://forms.gle/C1rFHWH65CUr3LU79팀플에서 가장 중요한 것은 즐겁게 하는 것입니다.스스로에 대해 알 수 있도록 자세히 적어주세요!"
123,"파이썬은 어느정도 다룰 줄 알고, 자바 역시 대략 배우기는 했으나 많이 까먹은 상태입니다. 졸업예정자이고, 백엔드 개발자 쪽으로 취업 준비를 해야할 것 같아 다시 자바 기초부터 복습해보려 합니다. 혼자 하려니 자꾸 안 하게 돼서 강제성을 갖기 위해 같이 하실분을 구해봅니다.대면으로 만나서 각자 공부한 내용 설명하고 인증하거나 비대면으로 인증하거나 방식은 정해봐도 좋습니다. 이미 비슷한 스터디가 있다면 들어가도 좋고 아니면 새로 찾아봅니다. 지역은 서울입니다. https://open.kakao.com/o/sU9J6p2f"
124,"스터디 주제 : 강화학습스터디 목표 : 대학(원)생으로서 강화학습 관련 논문을 읽고 방법론으로 이용할 수 있는 수준 달성예상 스터디 일정(횟수) : 스터디 기간 : 2024.1.10 ~ 2024.2.7 (총 4주, 4회)매주 수요일 오후 7시 (혹은 8시)1월 15일 , 1월 24일 , 1월 31일 , 2월 7일각자 공부 후, 스터디 당일 각 챕터 별 발표자 랜덤 선정하여, 발표 및 질의응답 진행장소는 추후 결정 (서울)예상 커리큘럼 간략히 : 주 컨텐츠 : 유튜브 오승상 강화학습 (+교재 단단한심층강화학습)https://www.youtube.com/@seungsangoh9923/playlists1.10 ~ 1.15 : 고전강화학습 기본내용 (1장 ~ 8장)1.18 ~ 1.24 : VF & DQN (9장 ~ 17장)1.25 ~ 1.31 : DQN 심화 & DDPG(AC) (18장 ~ 25장)2.1 ~ 2.7 : TRPO & IQN (26장 ~ 34장)예상 모집인원 : 총 4명 (현재 2명 有)스터디 소개와 개설 이유 : 대학생들이 모여서 공부하기 위함.스터디 관련 주의사항 : 서울 거주 대학(원)생, 불참시 벌금 有스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : 구글폼 :https://forms.gle/xSBeQBvPCQtD4pFXA"
125,"안녕하세요 저는 서비스 기업 1년차로 재직중에 있습니다. 광교중앙역 근처에서 평일/주말에 부담 없이 같이 자율적으로 공부할분 모집합니다.　주말/평일을 보다 생산적으로 활용했으면 좋겠다는 마음으로 스터디 개설하기로 하였습니다. 시간은 주말은 오후 1시 이후 / 평일은 퇴근 이후로 광교중앙역 인근 카페나 스터디카페에서 진행할 계획입니다.　 　취업/이직준비, 자기계발 외국어 등 목표가 있으신분들 같이 으쌰으쌰해서 원하는 목표 달성해봅시다!　관심있으신분들은 아래 링크로 간단한 소개 후 문의 부탁드리겠습니다.현재 1분 같이 하고 계시며 정기적으로 꾸준히 하실 분들 모집하여 소규모로 운영하고자 합니다.　아래 오픈챗으로 문의 부탁드리겠습니다!https://open.kakao.com/o/sDsGoTKf"
126,"안녕하세요, 개발자 테오(Theo)입니다. 2024년 새해를 맞이하여 신규 멘토링 프로그램을 준비하게 되어 소개드립니다. 기존에 여러 교육/멘토링 플랫폼에서 해오던 강의와 멘토링을 잠시 쉬고 있던 중 오랜만에 잠깐 여유가 생겨 커리어/기술 분야에 대한 멘토링을 해보고자 합니다. (비용 무료입니다.) 멘토링은 커리큘럼이 정해진 강의가 아닙니다. 필요한 도움이 명확하고, 제가 그 도움을 드릴 수 있다면 1:1 또는 2:1 정도의 규모로 이력서 첨삭부터 ‘스스로 생각하고 판단할 수 있는 개발자가 되기 위한 방법’, ‘지속 가능한 개발자가 되기 위한 방법’에 대해서 주로 이야기합니다. 자세한 내용은 아래 링크 참고 부탁드립니다. 🙂https://weekly-academy.notion.site/Beyond-beginner-Engineering-0aa5fa7645354742af6a91f88ef07a63?pvs=4"
127,"[개발 스터디 모집 내용 예시]스터디 주제 : 자바 백엔드 기반 CS 면접 오프라인 스터디스터디 목표 : 취업!예상 스터디 일정(횟수) : 주 1회 (매 주 수요일 신촌 스터디룸)예상 커리큘럼 간략히 : https://foamy-beet-5e9.notion.site/InterCote-9804487892924ac3a540f86d14f4d4d5?pvs=4예상 모집인원 : 1인 (4/5)스터디 소개와 개설 이유 : CS면접스터디 관련 주의사항 :스터디룸 비용이 발생합니다. (월 약 27,360 원) 매달마다 선금으로 받고 있습니다.현재 CS면접은 자바, 스프링, 네트워크 토픽이 끝난 상황입니다. 스터디에 지원할 수 있는 방법을 남겨주세요. (이메일, 카카오 오픈채팅방, 구글폼 등.) : https://open.kakao.com/o/sQ4pcl2f"
128,이것이 자바다 책 스터디원 모집합니다.저처럼 자바 할 줄은 알지만 깊은 자바 지식은 잘 모르고 헷갈리시는 분들만 구합니다.그래서 기본 자바 지식을 설명한 1권은 최대한 빠르게 진행하고 2권에 시간을 할애하려고 합니다.각자 책 읽고 정리해서 일주일에 두번 수요일과 토요일 20시까지 정리한거 카톡방에 공유하면 됩니다 그럼 끝! 몰랐던 부분만 정리하셔도 됩니다. 다른 사람꺼 보시고 자유롭게 질답해도 좋습니다.1권: 한번에 3강씩 4번 or 4강씩 3번 진행2권: 한번에 2강씩 3번 진행총 기간은 3주~3주 반으로 진행될것같습니다. 저포함 총 5명으로 진행하려고 합니다. 피치못할 사정이 아닌이상 중간에 빠지시면 아웃입니다.https://open.kakao.com/o/gnAxDk2f
